mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret,source_file,placement
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,12,1639.0,78.0,1635.0,76.0,1632.0,3.0,15.0,0.0,0.0,0.0,7.0,72.0,1501.0,17.0,1597.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,13,1710.0,42.0,1707.0,39.0,1704.0,3.0,16.0,0.0,0.0,0.0,8.0,72.0,1506.0,17.0,1603.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,14,1714.0,46.0,1712.0,44.0,1705.0,7.0,16.0,0.0,0.0,0.0,7.0,72.0,1505.0,17.0,1602.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,15,1633.0,40.0,1629.0,39.0,1629.0,0.0,15.0,0.0,0.0,0.0,7.0,71.0,1514.0,17.0,1609.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,16,1620.0,48.0,1617.0,46.0,1616.0,1.0,15.0,0.0,0.0,0.0,7.0,72.0,1505.0,17.0,1601.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,17,1714.0,46.0,1710.0,44.0,1707.0,3.0,16.0,0.0,0.0,0.0,7.0,71.0,1505.0,17.0,1600.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,18,1619.0,61.0,1616.0,59.0,1610.0,6.0,15.0,0.0,0.0,0.0,7.0,72.0,1496.0,17.0,1592.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,19,1605.0,47.0,1602.0,45.0,1597.0,5.0,15.0,0.0,0.0,0.0,6.0,71.0,1499.0,17.0,1594.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,32,4096,12,2,128,measure,0,2310.0,48.0,2307.0,46.0,2300.0,7.0,21.0,0.0,0.0,1.0,9.0,75.0,2126.0,33.0,2243.0,23e201cc6e23589a,0,baseline-high-capacity-cpu6-legacy-q32.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,32,4096,12,2,128,measure,1,2323.0,53.0,2320.0,52.0,2315.0,5.0,21.0,0.0,0.0,1.0,9.0,75.0,2126.0,34.0,2244.0,23e201cc6e23589a,0,baseline-high-capacity-cpu6-legacy-q32.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,32,4096,12,2,128,measure,2,2293.0,57.0,2290.0,55.0,2284.0,6.0,21.0,0.0,0.0,1.0,9.0,76.0,2113.0,33.0,2231.0,23e201cc6e23589a,0,baseline-high-capacity-cpu6-legacy-q32.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,32,4096,12,2,128,measure,3,2295.0,55.0,2292.0,53.0,2290.0,2.0,21.0,0.0,0.0,1.0,8.0,75.0,2114.0,34.0,2232.0,23e201cc6e23589a,0,baseline-high-capacity-cpu6-legacy-q32.csv,high-capacity-cpu6
