mode,function,kernel,width,mask_mode,kv_len,head_dim,p0_first_bits,p0_last_bits,requires_zero,gate
scna-int8,exp2,tree,32,causal,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,causal,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,full,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,full,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,full,4096,64,0x3988,0x3a1c,0,pass
scna-int8,exp2,tree,32,full,4096,64,0x3988,0x3a1c,0,pass
scna-int8,exp2,tree,32,padding,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,32,padding,4093,128,0x3ab1,0x0,1,pass
scna-int8,exp2,tree,8,causal,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,causal,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,full,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,full,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,full,4096,64,0x3a8d,0x3ae6,0,pass
scna-int8,exp2,tree,8,full,4096,64,0x3a8d,0x3ae6,0,pass
scna-int8,exp2,tree,8,padding,4093,128,0x3b3f,0x0,1,pass
scna-int8,exp2,tree,8,padding,4093,128,0x3b3f,0x0,1,pass
scna-fp16,exp,direct,16,causal,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,causal,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,full,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,full,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,full,4096,64,0x3a3b,0x3ab6,0,pass
scna-fp16,exp,direct,16,full,4096,64,0x3a3b,0x3ab6,0,pass
scna-fp16,exp,direct,16,padding,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,16,padding,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,direct,32,causal,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,causal,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,full,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,full,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,full,4096,64,0x39c0,0x3a5c,0,pass
scna-fp16,exp,direct,32,full,4096,64,0x39c0,0x3a5c,0,pass
scna-fp16,exp,direct,32,padding,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,32,padding,4093,128,0x3ac6,0x0,1,pass
scna-fp16,exp,direct,8,causal,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,direct,8,causal,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,direct,8,full,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,direct,8,full,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,direct,8,full,4096,64,0x3adf,0x3b2d,0,pass
scna-fp16,exp,direct,8,full,4096,64,0x3adf,0x3b2d,0,pass
scna-fp16,exp,direct,8,padding,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,direct,8,padding,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,16,causal,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,tree,16,causal,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,tree,16,full,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,tree,16,full,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,tree,16,full,4096,64,0x3a3b,0x3ab5,0,pass
scna-fp16,exp,tree,16,full,4096,64,0x3a3b,0x3ab5,0,pass
scna-fp16,exp,tree,16,padding,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,tree,16,padding,4093,128,0x3b08,0x0,1,pass
scna-fp16,exp,tree,32,causal,4093,128,0x3ac5,0x0,1,pass
scna-fp16,exp,tree,32,causal,4093,128,0x3ac5,0x0,1,pass
scna-fp16,exp,tree,32,full,4093,128,0x3ac5,0x0,1,pass
scna-fp16,exp,tree,32,full,4093,128,0x3ac5,0x0,1,pass
scna-fp16,exp,tree,32,full,4096,64,0x39c0,0x3a5c,0,pass
scna-fp16,exp,tree,32,full,4096,64,0x39c0,0x3a5c,0,pass
scna-fp16,exp,tree,32,padding,4093,128,0x3ac5,0x0,1,pass
scna-fp16,exp,tree,32,padding,4093,128,0x3ac5,0x0,1,pass
scna-fp16,exp,tree,8,causal,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,causal,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,full,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,full,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,full,4096,64,0x3ade,0x3b2d,0,pass
scna-fp16,exp,tree,8,full,4096,64,0x3ade,0x3b2d,0,pass
scna-fp16,exp,tree,8,padding,4093,128,0x3b62,0x0,1,pass
scna-fp16,exp,tree,8,padding,4093,128,0x3b62,0x0,1,pass
scna-int8,exp,direct,16,causal,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,direct,16,causal,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,direct,16,full,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,direct,16,full,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,direct,16,full,4096,64,0x3ab5,0x3ab5,0,pass
scna-int8,exp,direct,16,full,4096,64,0x3ab5,0x3ab5,0,pass
scna-int8,exp,direct,16,padding,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,direct,16,padding,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,direct,32,causal,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,direct,32,causal,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,direct,32,full,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,direct,32,full,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,direct,32,full,4096,64,0x3a4a,0x3a4a,0,pass
scna-int8,exp,direct,32,full,4096,64,0x3a4a,0x3a4a,0,pass
scna-int8,exp,direct,32,padding,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,direct,32,padding,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,direct,8,causal,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,direct,8,causal,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,direct,8,full,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,direct,8,full,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,direct,8,full,4096,64,0x3b2e,0x3b2e,0,pass
scna-int8,exp,direct,8,full,4096,64,0x3b2e,0x3b2e,0,pass
scna-int8,exp,direct,8,padding,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,direct,8,padding,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,tree,16,causal,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,tree,16,causal,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,tree,16,full,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,tree,16,full,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,tree,16,full,4096,64,0x3ab5,0x3ab5,0,pass
scna-int8,exp,tree,16,full,4096,64,0x3ab5,0x3ab5,0,pass
scna-int8,exp,tree,16,padding,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,tree,16,padding,4093,128,0x3b51,0x0,1,pass
scna-int8,exp,tree,32,causal,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,tree,32,causal,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,tree,32,full,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,tree,32,full,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,tree,32,full,4096,64,0x3a4a,0x3a4a,0,pass
scna-int8,exp,tree,32,full,4096,64,0x3a4a,0x3a4a,0,pass
scna-int8,exp,tree,32,padding,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,tree,32,padding,4093,128,0x3b12,0x0,1,pass
scna-int8,exp,tree,8,causal,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,tree,8,causal,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,tree,8,full,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,tree,8,full,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,tree,8,full,4096,64,0x3b2e,0x3b2e,0,pass
scna-int8,exp,tree,8,full,4096,64,0x3b2e,0x3b2e,0,pass
scna-int8,exp,tree,8,padding,4093,128,0x3b93,0x0,1,pass
scna-int8,exp,tree,8,padding,4093,128,0x3b93,0x0,1,pass
