affine_ns_per_vector,dense_rmse_vs_exp2,duration_gate,elapsed_ms,implementation_max_abs_error,implementation_rmse,label,mode,monotonic_violations,nan_count,negative_count,pack_ns_per_vector,random_implementation_max_abs_error,random_implementation_rmse,random_samples,reduction_ns_per_vector,sample,status,tail_implementation_max_abs_error,total_ns_per_vector,unpack_ns_per_vector
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,0,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,1,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,2,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,3,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,4,pass,0,53.846,0.0
0.0,0.0106907,True,53.847,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,5,pass,0,53.847,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,6,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,7,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,8,pass,0,53.846,0.0
0.0,0.0106907,True,53.847,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,9,pass,0,53.847,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,10,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,11,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,12,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,13,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,14,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,15,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,16,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,17,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,18,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,19,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,20,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,21,pass,0,53.846,0.0
0.0,0.0106907,True,53.846,0,0,HVX SCNA d8,scna-hvx-fp16-d8,0,0,0,0.0,0,0,0,0.0,22,pass,0,53.846,0.0
